"weight";"word";"color";"url"
"209";"gene";"";""
"187";"expression";"";""
"166";"ostreococcus";"";""
"154";"data";"";""
"142";"circadian";"";""
"138";"rhythmic";"";""
"132";"cell";"";""
"116";"phase";"";""
"112";"light";"";""
"107";"time";"";""
"105";"conditions";"";""
"101";"microalgae";"";""
"100";"biological";"";""
"98";"protein";"";""
"98";"tauri";"";""
"95";"profiles";"";""
"93";"cycles";"";""
"90";"condition";"";""
"88";"day";"";""
"87";"photoperiod";"";""
"84";"genome";"";""
"82";"diel";"";""
"81";"proteins";"";""
"79";"processes";"";""
"75";"cycle";"";""
"73";"biology";"";""
"69";"plant";"";""
"69";"rhythmicity";"";""
"67";"molecular";"";""
"60";"annotation";"";""
"58";"starch";"";""
"57";"research";"";""
"56";"clock";"";""
"56";"constant";"";""
"55";"transcriptome";"";""
"55";"transcriptomic";"";""
"54";"algaefun";"";""
"53";"rhythms";"";""
"53";"systems";"";""
"52";"hours";"";""
"52";"maracas";"";""
"50";"green";"";""
"50";"organisms";"";""
"46";"photosynthetic";"";""
"44";"changes";"";""
"44";"genomic";"";""
"44";"patterns";"";""
"43";"order";"";""
"43";"photosynthesis";"";""
"43";"plants";"";""
"42";"dark";"";""
"42";"dna";"";""
"42";"functional";"";""
"41";"cells";"";""
"41";"enrichment";"";""
"40";"content";"";""
"40";"photoperiods";"";""
"39";"carotenoids";"";""
"38";"offsets";"";""
"38";"pathway";"";""
"38";"proteomic";"";""
"36";"cultures";"";""
"36";"physiology";"";""
"36";"rna-seq";"";""
"32";"chlamydomonas";"";""
"32";"integration";"";""
"32";"phases";"";""
"31";"amplitude";"";""
"31";"biosynthesis";"";""
"31";"model";"";""
"31";"sequencing";"";""
"30";"chip-seq";"";""
"30";"period";"";""
"29";"lineage";"";""
"29";"temporal";"";""
"28";"marine";"";""
"27";"arabidopsis";"";""
"27";"global";"";""
"27";"oscillations";"";""
"27";"pathways";"";""
"27";"transcriptional";"";""
"26";"entrainment";"";""
"26";"methods";"";""
"26";"proteome";"";""
"26";"thesis";"";""
"25";"activity";"";""
"24";"environmental";"";""
"24";"enzymes";"";""
"24";"genes";"";""
"24";"tools";"";""
"23";"carotenoid";"";""
"23";"kegg";"";""
"23";"metabolism";"";""
"23";"nitrate";"";""
"23";"organism";"";""
"23";"peaks";"";""
"23";"shifts";"";""
"23";"transcript";"";""
"23";"transcripts";"";""
"23";"translation";"";""
"23";"variations";"";""
"22";"cellular";"";""
"22";"free-running";"";""
"22";"peak";"";""
"22";"response";"";""
"21";"efficiency";"";""
"21";"irradiance";"";""
"21";"levels";"";""
"21";"offset";"";""
"21";"p-value";"";""
"21";"physiological";"";""
"21";"rna";"";""
"21";"transcription";"";""
"20";"experimental";"";""
"20";"omics";"";""
"19";"pipeline";"";""
"19";"responses";"";""
"19";"rhythm";"";""
"19";"science";"";""
"18";"acids";"";""
"18";"acquisition";"";""
"18";"bottom";"";""
"18";"carbon";"";""
"18";"components";"";""
"18";"containing";"";""
"18";"main";"";""
"18";"microalga";"";""
"18";"ones";"";""
"18";"previous";"";""
"18";"program";"";""
"18";"raw";"";""
"18";"regulated";"";""
"18";"top";"";""
"17";"17";"";""
"17";"although";"";""
"17";"annotated";"";""
"17";"assimilation";"";""
"17";"characterization";"";""
"17";"column";"";""
"17";"computational";"";""
"17";"depending";"";""
"17";"due";"";""
"17";"every";"";""
"17";"production";"";""
"17";"reach";"";""
"17";"regions";"";""
"17";"software";"";""
"17";"van";"";""
"17";"wave";"";""
"17";"will";"";""
"17";"yes";"";""
"16";"activation";"";""
"16";"algae";"";""
"16";"clocks";"";""
"16";"consists";"";""
"16";"darkness";"";""
"16";"fv/fm";"";""
"16";"general";"";""
"16";"information";"";""
"16";"maintain";"";""
"16";"nucleic";"";""
"16";"packages";"";""
"16";"points";"";""
"16";"quantification";"";""
"16";"replicates";"";""
"16";"replication";"";""
"16";"right";"";""
"16";"selected";"";""
"16";"sequence";"";""
"16";"terms";"";""
"16";"total";"";""
"16";"transcriptomes";"";""
"16";"ºc";"";""
"16";"μl";"";""
"15";"chapter";"";""
"15";"complete";"";""
"15";"considered";"";""
"15";"degradation";"";""
"15";"distribution";"";""
"15";"growth";"";""
"15";"human";"";""
"15";"including";"";""
"15";"increase";"";""
"15";"individual";"";""
"15";"last";"";""
"15";"millar";"";""
"15";"outputs";"";""
"15";"package";"";""
"15";"parameter";"";""
"15";"proteomics";"";""
"15";"reinhardtii";"";""
"15";"result";"";""
"15";"roenneberg";"";""
"15";"role";"";""
"15";"several";"";""
"15";"take";"";""
"15";"therefore";"";""
"15";"whereas";"";""
"15";"wide";"";""
"14";"activated";"";""
"14";"algal";"";""
"14";"applied";"";""
"14";"central";"";""
"14";"community";"";""
"14";"complex";"";""
"14";"developed";"";""
"14";"distinct";"";""
"14";"entire";"";""
"14";"genetics";"";""
"14";"genomes";"";""
"14";"interest";"";""
"14";"mechanisms";"";""
"14";"metabolic";"";""
"14";"perform";"";""
"14";"processing";"";""
"14";"sciences";"";""
"14";"second";"";""
"14";"studied";"";""
"14";"system";"";""
"14";"transcript/protein";"";""
"14";"understanding";"";""
"14";"user";"";""
"14";"value";"";""
"14";"wang";"";""
"14";"winter";"";""
"13";"according";"";""
"13";"achieved";"";""
"13";"alga";"";""
"13";"biotechnology";"";""
"13";"chromosome";"";""
"13";"collected";"";""
"13";"consisting";"";""
"13";"cyclic";"";""
"13";"cyclin";"";""
"13";"encoding";"";""
"13";"end";"";""
"13";"evolution";"";""
"13";"finally";"";""
"13";"function";"";""
"13";"indicates";"";""
"13";"left";"";""
"13";"mapping";"";""
"13";"name";"";""
"13";"part";"";""
