"GeneID" "Annotation"
"ostta01g00010" " unnamed product"
"ostta01g00140" " HAD hydrolase, subfamily IA"
"ostta01g00330" " unnamed product"
"ostta01g00550" " Rhodanese-like domain"
"ostta01g00880" " Ankyrin repeat"
"ostta01g01000" " Tetratricopeptide repeat"
"ostta01g01410" " Endonuclease/exonuclease/phosphatase"
"ostta01g01820" " Acyl-CoA N-acyltransferase"
"ostta01g01980" " Nitrogen regulatory PII-like, alpha/beta"
"ostta01g02080" " Bacterial PH domain"
"ostta01g02210" " Beta tubulin, autoregulation binding site"
"ostta01g02430" " P-loop containing nucleoside triphosphate hydrolase"
"ostta01g02840" " Glutathione S-transferase, N-terminal"
"ostta01g03040" " Fructose-bisphosphate aldolase, class-I"
"ostta01g03390" " Uroporphyrinogen decarboxylase URO-D"
"ostta01g03450" " Rhodanese-like domain"
"ostta01g03730" " FIST domain, N-terminal"
"ostta01g03800" " CAP Gly-rich domain"
"ostta01g04070" " WD40/YVTN repeat-like-containing domain"
"ostta01g04120" " von Willebrand factor, type A"
"ostta01g04480" " Carotenoid oxygenase"
"ostta01g04940" " Chlorophyll A-B binding protein, plant"
"ostta01g05110" " Pentatricopeptide repeat"
"ostta01g05200" " Primosome PriB/single-strand DNA-binding"
"ostta01g05230" " G-protein beta WD-40 repeat"
"ostta01g05690" " Magnesium chelatase, ATPase subunit I"
"ostta02g00410" " WD40 repeat"
"ostta02g00600" " RNA polymerase III subunit RPC82-related, helix-turn-helix"
"ostta02g00940" " Ribose-phosphate diphosphokinase"
"ostta02g01120" " Mak16 protein"
"ostta02g01290" " Acid phosphatase/vanadium-dependent haloperoxidase-related"
"ostta02g01840" " Beta-ketoacyl synthase, active site"
"ostta02g03290" " Putative sodium bile acid cotransporter"
"ostta02g03330" " Chlorophyll A-B binding protein, plant"
"ostta02g03410" " P-loop containing nucleoside triphosphate hydrolase"
"ostta02g03430" " DNA-directed DNA polymerase, family B, pol2"
"ostta02g03560" " Mitochondrial substrate/solute carrier"
"ostta02g03860" " Photosystem I PsaE, reaction centre subunit IV"
"ostta02g04020" " PCI/PINT associated module"
"ostta02g04260" " ENTH/VHS"
"ostta03g00310" " unnamed product"
"ostta03g00340" " unnamed product"
"ostta03g00350" " Fructose-1,6-bisphosphatase class 1/Sedoheputulose-1,7-bisphosphatase"
"ostta03g00690" " NOSIC"
"ostta03g01030" " Chloramphenicol acetyltransferase-like domain"
"ostta03g01120" " unnamed product"
"ostta03g01160" "' Orotidine 5''-phosphate decarboxylase, active site'"
"ostta03g01980" " unnamed product"
"ostta03g02040" " unnamed product"
"ostta03g02050" " Thioredoxin-like fold"
"ostta03g02130" " Phosphatidic acid phosphatase type 2/haloperoxidase"
"ostta03g02500" " Mitochondrial substrate/solute carrier"
"ostta03g02820" " 3-isopropylmalate dehydratase, small subunit"
"ostta03g02830" " Pyridoxal phosphate-dependent transferase, major region, subdomain 2"
"ostta03g03015" " Translation elongation factor P/YeiP, central"
"ostta03g03070" " tRNA isopentenyltransferase"
"ostta03g03160" " Coproporphyrinogen III oxidase, conserved site"
"ostta03g03660" " Zinc finger, CCCH-type"
"ostta03g03750" " Glyoxalase/fosfomycin resistance/dioxygenase domain"
"ostta03g03960" " DNA-directed RNA polymerase, subunit C11/M/9"
"ostta03g03980" " Armadillo-type fold"
"ostta03g04070" " Protein of unknown function DUF2214, membrane"
"ostta03g04080" " Protein of unknown function DUF1749"
"ostta03g04170" " NLI interacting factor"
"ostta03g04430" " G-protein beta WD-40 repeat"
"ostta03g05500" " Fructose-1,6-bisphosphatase class 1/Sedoheputulose-1,7-bisphosphatase"
"ostta03g05620" " DNA photolyase, class 2"
"ostta03g05940" " unnamed product"
"ostta04g00070" " Rieske [2Fe-2S] iron-sulphur domain"
"ostta04g00440" " NADP-binding domain"
"ostta04g00490" " Zinc-finger domain of monoamine-oxidase A repressor R1"
"ostta04g00580" " unnamed product"
"ostta04g00710" " tRNA/rRNA methyltransferase, SpoU"
"ostta04g00730" " Helicase-associated"
"ostta04g00830" " unnamed product"
"ostta04g00920" " unnamed product"
"ostta04g00930" " SNARE associated Golgi protein"
"ostta04g00970" " P-loop containing nucleoside triphosphate hydrolase"
"ostta04g01610" " Aminoacyl-tRNA synthetase, class II"
"ostta04g01790" " Photosystem I PsaF, reaction centre subunit III"
"ostta04g01820" " Chlorophyll a/b binding protein domain"
"ostta04g01910" " unnamed product"
"ostta04g01970" " Alpha-ketoglutarate-dependent dioxygenase AlkB-like"
"ostta04g02020" " tRNA-dihydrouridine synthase, conserved site"
"ostta04g02510" " P-loop containing nucleoside triphosphate hydrolase"
"ostta04g02530" " NLI interacting factor"
"ostta04g02640" " Acyl-CoA N-acyltransferase"
